,Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
0,2021-06-01,1000h - 1230h,JIC Inspection Services (53 Pioneer Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.657832233969,1.3113314933876201,628505,Tuas
1,2021-06-01,1100h - 1230h,VICOM Inspection Centre (511 Bukit Batok Street 2),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.75583233946699,1.34175978313366,659545,Bukit Batok
2,2021-06-01,1955h - 2030h,Seletar Mall (33 Sengkang West Avenue),NTUC FairPrice,https://mothership.sg/2021/06/june-4-covid-19-evening-update/,Added/ Updated on 2021-06-05,103.876156956828,1.3913688093851,797653,Seletar
3,2021-05-30,0940h - 1630h,NTUC Foodfare (476D Upper Serangoon View),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.903623796196,1.37791506138101,537476,Sengkang
4,2021-05-30,1100h - 2200h,Hougang Green Shopping Mall (21 Hougang Street 51),Pizza Hut,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.88784708916799,1.37931783471773,538719,Sengkang
5,2021-05-30,1125h - 1200h,Ang Mo Supermarket (642 Hougang Avenue 8),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.879948293051,1.3716987887980199,530642,Seletar
6,2021-05-30,1200h - 1300h,Bugis Street (3 New Bugis Street),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.854935164999,1.30056609522079,188867,Rochor
7,2021-05-30,1800h - 1900h,Hong Yang Health Products & Foot Reflexology Centre (38 Beo Crescent),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.827290023383,1.2885539318456298,160038,Outram
8,2021-05-30,2005h - 0005h,Marina Bay Sands Casino (10 Bayfront Avenue),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.858562162091,1.28257452719678,018956,Straits View
9,2021-05-29,0110h - 0530h,Marina Bay Sands Casino (10 Bayfront Avenue),,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.858562162091,1.28257452719678,018956,Straits View
10,2021-05-29,0900h - 1300h,NTUC Foodfare (308 Anchorvale Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.886445107411,1.38925397515391,540308,Sengkang
11,2021-05-29,1020h - 1100h,Seletar Mall (33 Sengkang West Avenue),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.876156956828,1.3913688093851,797653,Seletar
12,2021-05-29,1255h - 2225h,NTUC Foodfare (476D Upper Serangoon View),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.903623796196,1.37791506138101,537476,Sengkang
13,2021-05-29,1315h - 1500h,Chien Chi Tow Healthcare (78 Redhill Lane),,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.818486786844,1.28843088346846,150078,Bukit Merah
14,2021-05-29,1555h - 1645h,Peninsula Plaza Singapore (111 North Bridge Road),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.85080450702,1.2923224841493601,NIL,Museum
15,2021-05-29,1815h - 1915h,Thong Sheng Motors Trading (7 Pioneer Road North),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.695427890578,1.32483634845564,628459,Pioneer
16,2021-05-29,1820h - 2000h,VivoCity (1 HarbourFront Walk),FairPrice Xtra,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.82238251183,1.26427727331345,NIL,Bukit Merah
17,2021-05-29,1840h - 1950h,ESR BizPark@Chai Chee (750A Chai Chee Road),Decathlon,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.922124606113,1.32297820248267,469001,Geylang
18,2021-05-29,2000h - 2035h,Prime Supermarket (763 Jurong West Street 75),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.698292005963,1.3487264426989698,640763,Jurong West
19,2021-05-29,2030h - 2055h,Plaza Singapura (68 Orchard Road),Cold Storage,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.845067272666,1.30082071769235,238839,Museum
20,2021-05-29,2030h - 2115h,Plaza Singapura (68 Orchard Road),,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.845067272666,1.30082071769235,238839,Museum
21,2021-05-28,0800h - 1800h,Orchard Hotel Singapore (442 Orchard Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.82819728305701,1.30762511521725,NIL,Orchard
22,2021-05-28,0900h - 2100h,NTUC Foodfare (308 Anchorvale Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.886445107411,1.38925397515391,540308,Sengkang
23,2021-05-28,1010h - 1155h,Carole Unisex Salon (620 Hougang Avenue 8),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.88396814053101,1.3701440065551,530620,Hougang
24,2021-05-28,1100h - 2200h,Hougang Green Shopping Mall (21 Hougang Street 51),Pizza Hut,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.88784708916799,1.37931783471773,538719,Sengkang
25,2021-05-28,1200h - 1900h,Atatzcutz Singapore (348 Bedok Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,"Added/ Updated on 2021-06-04, Date is till 31 May 2021",103.94826030430299,1.3314362311991101,469560,Bedok
26,2021-05-28,1300h - 1340h,Masjid Jamek Queenstown (946 Margaret Drive),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.815415725873,1.29301045552152,149309,Tanglin
27,2021-05-28,1615h - 1650h,Sheng Shiong Supermarket (455 Sengkang West Avenue),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.871190376558,1.3918368825407401,790455,Seletar
28,2021-05-28,1930h - 0000h,NTUC Foodfare (308 Anchorvale Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.886445107411,1.38925397515391,540308,Sengkang
29,2021-05-28,1955h - 2055h,Seletar Mall (33 Sengkang West Avenue),NTUC FairPrice,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.876156956828,1.3913688093851,797653,Seletar
30,2021-05-28,1955h - 2105h,The Seletar Mall (33 Sengkang West Avenue),,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.876156956828,1.3913688093851,797653,Seletar
31,2021-05-27,0000h - 0730h,NTUC Foodfare (308 Anchorvale Road),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.886445107411,1.38925397515391,540308,Sengkang
32,2021-05-27,0000h - 2359h,Tuas Amenity Centre (71 Pioneer Road),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,"Added/ Updated on 2021-06-03, Date is till 31 May 2021",103.65220866042101,1.31720416812204,639591,Tuas
33,2021-05-27,0000h -2359h,Tuas Amenity Centre Carpark Booth (71 Pioneer Road),,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-02, Date is from 27 May to 31 May",103.65220866042101,1.31720416812204,639591,Tuas
